Time,Distance
9.666666667,148
9.7,149.08
9.733333333,144.39
9.933333333,156.32
9.966666667,152.03
10,152
10.1,148.03
10.2,147.01
10.23333333,149
10.26666667,154.16
10.3,157.46
10.33333333,159.91
10.56666667,154.05
10.6,151.05
10.63333333,151.16
10.9,136.18
10.93333333,135.37
11.23333333,139.36
11.53333333,153.01
11.56666667,149.03
11.6,150.12
11.63333333,156.16
11.66666667,160.15
11.7,160
11.73333333,162.11
11.76666667,166.43
11.8,158.4
11.83333333,159.81
11.86666667,161.64
11.9,162.36
11.93333333,160.25
12.03333333,152.64
12.36666667,156.63
12.5,162
12.53333333,160.8
12.56666667,163.23
12.6,161.01
12.63333333,161.9
12.66666667,160.61
12.7,154
12.73333333,147.49
12.76666667,145.99
12.8,145.72
12.83333333,147.71
12.86666667,150.22
13,155.03
13.03333333,154.03
13.06666667,151.08
13.1,151.12
13.13333333,149.21
13.16666667,149.05
13.2,149.01
13.23333333,149
13.26666667,150.01
13.3,151
13.33333333,151.05
13.36666667,152.01
13.4,152.21
13.43333333,153.64
13.63333333,159.08
13.66666667,159.11
13.7,160.15
13.73333333,160.08
13.76666667,162.03
13.83333333,162.01
13.86666667,163.05
13.9,162.31
13.93333333,162.44
13.96666667,164.3
14,163.37
14.03333333,163.37
14.06666667,162.37
14.1,163.2
14.13333333,163.15
14.2,163.08
14.23333333,163.05
14.26666667,162.08
14.33333333,162.05
14.36666667,162.11
14.4,162.08
14.43333333,162.11
14.46666667,162.01
14.53333333,162
14.76666667,154.21
14.8,152
14.83333333,151
14.86666667,148
14.9,145.01
14.93333333,142.28
15,132
15.23333333,151.05
15.26666667,153.16
15.3,153.08
15.33333333,150.01
15.36666667,151
15.4,152
15.43333333,153.01
15.46666667,155.03
15.5,154.08
15.53333333,155.03
15.56666667,154
15.83333333,156.39
15.86666667,156.32
15.9,158.11
15.93333333,161.15
15.96666667,160.03
16,160
16.03333333,161.01
16.06666667,160.01
16.1,160.05
16.13333333,159.03
16.16666667,160.01
16.2,159.01
16.23333333,160
16.26666667,159
16.3,157
16.33333333,158
16.36666667,157
16.4,155.01
16.43333333,155.03
16.5,158.03
16.53333333,158.38
16.56666667,157.81
16.6,156.39
16.63333333,155.12
16.66666667,153.03
16.7,152.16
16.73333333,155.32
16.9,164.56
16.93333333,160.85
16.96666667,160.85
17,162.09
17.03333333,162.64
17.06666667,162.93
17.1,164.77
17.13333333,163.82
17.16666667,164.12
17.2,164.76
17.23333333,164.14
17.26666667,166.43
17.3,166.78
17.33333333,164.92
17.36666667,166.01
17.4,164.16
17.43333333,165.71
17.7,152.61
17.73333333,152.83
17.76666667,149.16
17.8,146.32
17.83333333,144.93
17.86666667,146.01
17.9,145.15
18.13333333,147.87
18.2,144.54
18.23333333,147.87
18.26666667,148.07
