Frame,Green_X,Green_Y,Lime_X,Lime_Y,Distance
235,947,523,0,0,
236,947,512,0,0,
237,947,507,0,0,
238,946,506,0,0,
239,944,505,0,0,
240,941,505,0,0,
241,937,507,0,0,
242,935,508,1098,523,163.69
243,932,511,1096,524,164.51
244,929,513,1094,525,165.44
245,928,517,1093,526,165.25
246,928,519,1092,529,164.3
247,928,521,1092,529,164.2
248,929,522,1091,531,162.25
249,929,523,1091,532,162.25
250,929,523,1091,532,162.25
251,929,524,1091,532,162.2
252,929,524,1091,532,162.2
253,928,524,1092,531,164.15
254,927,524,1092,530,165.11
255,926,523,1092,528,166.08
256,0,0,1092,526,
257,0,0,1090,525,
258,0,0,1090,521,
259,0,0,1092,513,
260,0,0,1094,501,
261,0,0,1094,491,
262,0,0,1094,483,
263,0,0,1093,475,
264,0,0,1092,467,
265,0,0,0,0,
266,942,508,0,0,
267,0,0,0,0,
268,0,0,0,0,
269,0,0,0,0,
270,954,486,0,0,
271,954,481,0,0,
272,0,0,0,0,
273,0,0,0,0,
274,0,0,0,0,
275,0,0,1070,487,
276,0,0,1066,506,
277,0,0,1062,522,
278,0,0,1057,537,
279,0,0,1053,549,
280,903,595,1052,557,153.77
281,901,602,1050,564,153.77
282,899,606,1049,567,154.99
283,898,608,1047,568,154.28
284,897,608,1046,569,154.02
285,896,608,1046,568,155.24
286,894,609,1046,569,157.18
287,893,610,1047,572,158.62
288,894,611,1046,576,155.98
289,0,0,1043,577,
290,900,608,1040,577,143.39
291,901,605,1042,576,143.95
292,904,601,1043,573,141.79
293,903,595,1043,567,142.77
294,904,589,1045,561,143.75
295,907,581,1050,557,145.0
296,908,578,1056,558,149.35
297,907,579,1059,560,153.18
298,906,583,1059,564,154.18
299,903,591,1058,570,156.42
300,903,597,1056,577,154.3
301,902,602,1053,584,152.07
302,900,607,1052,586,153.44
303,897,611,1053,587,157.84
304,895,613,1053,587,160.12
305,896,613,1054,587,160.12
306,897,611,1055,586,159.97
307,898,610,1056,586,159.81
308,900,609,1056,584,157.99
309,899,604,1055,582,157.54
310,896,600,1053,578,158.53
311,894,598,1051,573,158.98
312,892,596,1049,568,159.48
313,891,595,1045,566,156.71
314,889,595,1044,565,157.88
315,886,596,1041,564,158.27
316,884,597,1039,564,158.47
317,0,0,1038,565,
318,0,0,1036,563,
319,0,0,1034,559,
320,0,0,1035,556,
321,0,0,1035,548,
322,0,0,1035,541,
323,0,0,1037,533,
324,0,0,1039,525,
325,0,0,1039,519,
326,0,0,1038,516,
327,0,0,1037,514,
328,0,0,1037,515,
329,0,0,1036,517,
330,0,0,1034,516,
331,0,0,1032,518,
332,0,0,1032,519,
333,0,0,1031,520,
334,0,0,1031,521,
335,0,0,1032,523,
336,0,0,1032,526,
337,0,0,1029,536,
338,0,0,0,0,
339,0,0,1026,562,
340,0,0,1023,574,
341,0,0,1021,583,
342,860,613,1020,586,162.26
343,858,615,1021,588,165.22
344,858,617,1021,590,165.22
345,857,619,1022,592,167.19
346,0,0,1023,593,
347,0,0,1025,593,
348,866,623,1028,592,164.94
349,0,0,1031,590,
350,0,0,1035,588,
351,882,627,1042,585,165.42
352,0,0,1048,584,
353,897,616,0,0,
354,907,609,0,0,
355,918,604,0,0,
356,925,600,0,0,
357,929,598,0,0,
358,932,597,0,0,
359,934,596,0,0,
360,935,596,0,0,
361,936,595,0,0,
362,936,595,0,0,
363,935,594,0,0,
364,934,595,0,0,
365,932,598,0,0,
366,929,600,0,0,
367,928,603,1076,564,153.05
368,929,604,1079,567,154.5
369,929,606,1079,569,154.5
370,929,606,1080,570,155.23
371,929,608,1079,570,154.74
372,928,608,1079,572,155.23
373,927,610,1079,574,156.2
374,926,612,1078,577,155.98
375,924,614,1077,581,156.52
376,925,615,1078,583,156.31
377,0,0,1079,584,
378,928,617,1078,585,153.38
379,0,0,1079,586,
380,0,0,1080,585,
381,0,0,1082,583,
382,936,615,1082,582,149.68
383,936,612,1082,579,149.68
384,937,607,1083,575,149.47
385,940,604,1084,574,147.09
386,944,602,1085,573,143.95
387,947,601,1087,573,142.77
388,950,599,1087,573,139.45
389,951,595,1089,570,140.25
390,954,588,1091,564,139.09
391,954,579,1093,556,140.89
392,951,569,1095,547,145.67
393,950,561,1096,538,147.8
394,950,553,1095,530,146.81
395,949,546,1094,524,146.66
396,0,0,1097,517,
397,946,534,1102,514,157.28
398,0,0,1103,511,
399,0,0,1102,509,
400,0,0,1101,507,
401,0,0,1100,504,
402,0,0,0,0,
403,0,0,0,0,
404,0,0,0,0,
405,0,0,0,0,
406,0,0,1092,504,
407,932,528,1094,508,163.23
408,0,0,1094,510,
409,0,0,1097,510,
410,0,0,1101,511,
411,0,0,1107,511,
412,0,0,0,0,
413,0,0,0,0,
414,0,0,0,0,
415,0,0,0,0,
416,0,0,0,0,
417,0,0,0,0,
418,0,0,0,0,
419,0,0,0,0,
420,0,0,0,0,
421,1016,539,0,0,
422,1016,535,0,0,
423,0,0,0,0,
424,0,0,0,0,
425,0,0,0,0,
426,0,0,0,0,
427,0,0,1144,502,
428,0,0,1145,503,
429,0,0,1146,504,
430,0,0,1148,508,
431,0,0,1148,513,
432,0,0,1150,522,
433,0,0,1154,532,
434,0,0,1158,542,
435,0,0,1161,554,
436,0,0,1164,562,
437,1032,569,1168,569,136.0
438,1035,575,1173,575,138.0
439,1039,582,1178,580,139.01
440,1040,590,1180,585,140.09
441,1041,596,1181,586,140.36
442,1043,598,1186,588,143.35
443,1048,598,1189,585,141.6
444,1055,598,1194,576,140.73
445,1063,596,1202,569,141.6
446,1069,593,1207,562,141.44
447,1074,595,1213,561,143.1
448,1083,595,1221,560,142.37
449,0,0,1227,562,
450,0,0,1234,563,
451,0,0,1242,563,
452,0,0,1247,567,
453,0,0,1250,573,
454,0,0,1256,578,
455,0,0,1269,582,
456,1138,607,1277,582,141.23
457,1140,606,1281,580,143.38
458,1139,606,1282,581,145.17
459,1135,606,1282,581,149.11
460,1132,608,1281,581,151.43
461,1129,610,1277,584,150.27
462,1129,613,1274,587,147.31
463,1131,613,1275,587,146.33
464,1133,612,1276,586,145.34
465,1134,610,1277,585,145.17
466,1132,610,1278,584,148.3
467,1133,609,1280,583,149.28
468,1136,607,1281,583,146.97
469,1140,606,1283,583,144.84
470,1142,604,1288,582,147.65
471,1144,603,1290,583,147.36
472,1144,603,1290,583,147.36
473,1144,603,1290,583,147.36
474,1143,604,1288,584,146.37
475,1142,604,1288,584,147.36
476,1142,603,1287,585,146.11
477,1144,603,1288,585,145.12
478,1149,602,1293,584,145.12
479,1153,601,1296,581,144.39
480,1158,601,1300,574,144.54
481,1164,599,1305,565,145.04
482,0,0,1310,558,
483,0,0,1322,554,
484,0,0,1334,552,
485,0,0,1338,554,
486,0,0,1336,555,
487,0,0,1336,553,
488,0,0,0,0,
489,0,0,0,0,
490,0,0,0,0,
491,0,0,0,0,
492,0,0,0,0,
493,0,0,0,0,
494,0,0,0,0,
495,0,0,1344,559,
496,0,0,1342,559,
497,0,0,1340,561,
498,0,0,1339,560,
499,0,0,1337,557,
500,0,0,1337,552,
501,0,0,1337,549,
502,0,0,1336,547,
503,0,0,1334,547,
504,0,0,1330,551,
505,1196,598,1327,553,138.51
506,1194,601,1327,555,140.73
507,1192,602,1325,557,140.41
508,1192,602,1323,558,138.19
509,1192,602,1322,557,137.57
510,1189,601,1321,557,139.14
511,1188,600,1322,557,140.73
512,1187,600,1323,558,142.34
513,1184,601,1321,560,143.0
514,1182,605,1320,562,144.54
515,1181,606,1318,564,143.29
516,1179,608,1317,565,144.54
517,1175,611,1315,566,147.05
518,1174,611,1314,567,146.75
519,1173,610,1313,567,146.45
520,1175,608,1314,569,144.37
521,1175,606,1314,570,143.59
522,1171,608,1313,571,146.74
523,1165,611,1306,572,146.29
524,0,0,1290,571,
525,0,0,1279,569,
526,0,0,1272,566,
527,0,0,1268,563,
528,0,0,1267,560,
529,0,0,1265,557,
530,0,0,1265,553,
531,0,0,1265,550,
532,0,0,1266,547,
533,0,0,1267,547,
534,0,0,1267,547,
535,0,0,1267,548,
536,0,0,1267,551,
537,0,0,1266,554,
538,0,0,1265,555,
539,0,0,1265,557,
540,0,0,1263,560,
541,1133,601,1262,560,135.36
542,1132,601,1261,562,134.77
543,1132,601,1260,562,133.81
544,1133,601,1260,562,132.85
545,1132,601,1260,563,133.52
546,1132,602,1260,563,133.81
547,1132,602,1260,562,134.1
548,1132,601,1261,562,134.77
549,1132,601,1261,562,134.77
550,1133,602,1262,562,135.06
551,1133,602,1261,562,134.1
552,0,0,1260,562,
553,0,0,1260,562,
554,0,0,1261,562,
555,1131,603,1260,562,135.36
556,0,0,1255,563,
557,0,0,1246,561,
558,0,0,1237,559,
559,0,0,1230,557,
560,0,0,1227,555,
561,0,0,1225,553,
562,0,0,1224,550,
563,0,0,1222,548,
564,0,0,1220,548,
565,0,0,1217,547,
566,0,0,1216,548,
567,0,0,1213,550,
568,0,0,1212,551,
569,0,0,1211,553,
570,0,0,1209,555,
571,0,0,1206,557,
572,1071,598,1204,558,138.88
573,1070,598,1203,559,138.6
574,1068,600,1202,560,139.84
575,1065,601,1201,563,141.21
576,1063,601,1202,568,142.86
577,1063,601,1202,572,141.99
578,1062,603,1201,574,141.99
579,1060,604,1199,577,141.6
580,1057,605,1198,579,143.38
581,1055,608,1196,581,143.56
582,1053,609,1194,583,143.38
583,0,0,1192,585,
584,0,0,1190,587,
585,0,0,1186,589,
586,0,0,1179,589,
587,0,0,1171,590,
588,0,0,1168,590,
589,0,0,1165,592,
590,0,0,1164,592,
591,0,0,1162,593,
592,1028,617,1161,594,134.97
593,0,0,1160,594,
594,0,0,1158,594,
595,0,0,1158,595,
596,0,0,1156,594,
597,0,0,1155,595,
598,0,0,1152,596,
599,0,0,1150,596,
600,0,0,1150,597,
601,0,0,1149,597,
602,0,0,1149,598,
603,0,0,1149,598,
604,0,0,1150,597,
605,0,0,1150,596,
606,0,0,1151,595,
607,0,0,1151,594,
608,0,0,1152,594,
609,0,0,1152,593,
610,0,0,1153,592,
611,0,0,1154,591,
612,0,0,1155,590,
613,0,0,1157,588,
614,0,0,1158,586,
615,1023,610,1161,582,140.81
616,1025,608,1162,579,140.04
617,1028,604,0,0,
618,1030,602,0,0,
619,1034,598,0,0,
620,1037,594,0,0,
621,0,0,0,0,
622,0,0,0,0,
623,1045,576,0,0,
624,1046,569,0,0,
625,1047,562,0,0,
626,1047,559,0,0,
627,1044,560,0,0,
628,1038,562,0,0,
629,1032,566,0,0,
630,1027,568,0,0,
631,1024,570,0,0,
632,1021,573,0,0,
633,1017,576,0,0,
634,0,0,1171,577,
635,1010,581,1168,581,158.0
636,1008,584,1166,584,158.0
637,0,0,1165,585,
638,0,0,1165,585,
639,1004,590,1164,586,160.05
640,1004,592,1165,586,161.11
641,1004,593,1165,586,161.15
642,1004,592,1165,586,161.11
643,1005,593,1166,586,161.15
644,1005,592,1166,586,161.11
645,1005,594,1166,585,161.25
646,1005,593,1166,584,161.25
647,1004,593,1166,583,162.31
648,1003,593,1165,583,162.31
649,1001,594,1164,582,163.44
650,1000,595,1162,580,162.69
651,999,596,1162,577,164.1
652,1001,596,1162,573,162.63
653,1001,596,1163,568,164.4
654,1004,595,1163,561,162.59
655,1007,593,1164,553,162.02
656,0,0,1164,546,
657,0,0,1163,539,
658,0,0,1161,532,
659,0,0,1158,524,
660,0,0,1157,517,
661,0,0,0,0,
662,0,0,0,0,
663,0,0,0,0,
664,0,0,0,0,
665,0,0,0,0,
666,0,0,0,0,
